

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.689	0.613
A2	1.115	0.715
A3	1.061	0.836
A4	0.931	0.708
A5	1.145	0.711
A6	0.378	0.303
A7	0.647	0.573
A8	0.646	0.505
A9	1.123	0.869
A10	0.970	0.894
A11	0.912	0.687
A12	0.840	0.682
B1	0.821	0.608
B2	0.665	0.702
B3	0.196	0.172
B4	0.994	0.783
B5	0.567	0.479
B6	1.165	0.821
B7	0.976	0.863
B8	0.464	0.352
B9	1.159	0.784
B10	0.083	0.081
B11	0.084	0.083
B12	0.086	0.083
C1	0.644	0.603
C2	0.731	0.657
C3	1.035	0.771
C4	1.069	0.694
C5	0.469	0.358
C6	0.888	0.718
C7	0.707	0.618
C8	0.765	0.616
C9	0.928	0.799
C10	0.869	0.597
C11	0.961	0.708
C12	1.188	0.885
D1	0.539	0.474
D2	0.759	0.593
D3	0.632	0.524
D4	0.307	0.321
D5	0.329	0.274
D6	1.205	0.877
D7	1.169	0.851
D8	0.948	0.676
D9	0.702	0.623
D10	0.084	0.082
D11	0.084	0.083
D12	0.084	0.082
E1	0.772	0.603
E2	0.968	0.697
E3	0.640	0.529
E4	0.921	0.663
E5	1.302	0.841
E6	0.442	0.328
E7	0.613	0.453
E8	0.996	0.709
E9	0.700	0.599
E10	1.047	0.770
E11	0.794	0.603
E12	0.269	0.218
F1	0.738	0.636
F2	0.901	0.700
F3	0.902	0.598
F4	0.929	0.717
F5	1.131	0.833
F6	1.077	0.820
F7	0.419	0.348
F8	0.853	0.692
F9	1.250	0.835
F10	0.083	0.081
F11	0.082	0.080
F12	0.083	0.080
G1	0.081	0.087
G2	0.079	0.084
G3	0.079	0.084
G4	0.083	0.082
G5	0.083	0.081
G6	0.084	0.082
G7	0.084	0.080
G8	0.083	0.080
G9	0.082	0.079
G10	0.083	0.080
G11	0.083	0.081
G12	0.094	0.092
H1	0.083	0.081
H2	0.084	0.080
H3	0.083	0.082
H4	0.083	0.081
H5	0.084	0.080
H6	0.083	0.079
H7	0.083	0.080
H8	0.083	0.080
H9	0.083	0.080
H10	0.083	0.081
H11	0.091	0.087
H12	0.085	0.081

