Plate_id	ABS650	ABS750	well_id	Date	plate_type
2	0.08	0.086	F11	07302019	96
2	0.082	0.086	F12	07302019	96
2	0.08	0.084	G1	07302019	96
2	0.078	0.084	G2	07302019	96
2	0.077	0.083	G3	07302019	96
2	0.083	0.081	G4	07302019	96
2	0.084	0.081	G5	07302019	96
2	0.084	0.082	G6	07302019	96
2	0.084	0.081	G7	07302019	96
2	0.083	0.08	G8	07302019	96
2	0.082	0.079	G9	07302019	96
2	0.082	0.079	G10	07302019	96
2	0.082	0.08	G11	07302019	96
2	0.083	0.081	G12	07302019	96
2	0.083	0.081	H1	07302019	96
2	0.084	0.082	H2	07302019	96
2	0.083	0.082	H3	07302019	96
2	0.084	0.081	H4	07302019	96
2	0.084	0.08	H5	07302019	96
2	0.083	0.079	H6	07302019	96
2	0.083	0.08	H7	07302019	96
2	0.082	0.08	H8	07302019	96
2	0.083	0.079	H9	07302019	96
2	0.083	0.079	H10	07302019	96
2	0.084	0.08	H11	07302019	96
2	0.086	0.083	H12	07302019	96
3	0.689	0.613	A1	07302019	96
3	1.115	0.715	A2	07302019	96
3	1.061	0.836	A3	07302019	96
3	0.931	0.708	A4	07302019	96
3	1.145	0.711	A5	07302019	96
3	0.378	0.303	A6	07302019	96
3	0.647	0.573	A7	07302019	96
3	0.646	0.505	A8	07302019	96
3	1.123	0.869	A9	07302019	96
3	0.97	0.894	A10	07302019	96
3	0.912	0.687	A11	07302019	96
3	0.84	0.682	A12	07302019	96
3	0.821	0.608	B1	07302019	96
3	0.665	0.702	B2	07302019	96
3	0.196	0.172	B3	07302019	96
3	0.994	0.783	B4	07302019	96
3	0.567	0.479	B5	07302019	96
3	1.165	0.821	B6	07302019	96
3	0.976	0.863	B7	07302019	96
3	0.464	0.352	B8	07302019	96
3	1.159	0.784	B9	07302019	96
3	0.083	0.081	B10	07302019	96
3	0.084	0.083	B11	07302019	96
3	0.086	0.083	B12	07302019	96
3	0.644	0.603	C1	07302019	96
3	0.731	0.657	C2	07302019	96
3	1.035	0.771	C3	07302019	96
3	1.069	0.694	C4	07302019	96
3	0.469	0.358	C5	07302019	96
3	0.888	0.718	C6	07302019	96
3	0.707	0.618	C7	07302019	96
3	0.765	0.616	C8	07302019	96
3	0.928	0.799	C9	07302019	96
3	0.869	0.597	C10	07302019	96
3	0.961	0.708	C11	07302019	96
3	1.188	0.885	C12	07302019	96
3	0.539	0.474	D1	07302019	96
3	0.759	0.593	D2	07302019	96
3	0.632	0.524	D3	07302019	96
3	0.307	0.321	D4	07302019	96
3	0.329	0.274	D5	07302019	96
3	1.205	0.877	D6	07302019	96
3	1.169	0.851	D7	07302019	96
3	0.948	0.676	D8	07302019	96
3	0.702	0.623	D9	07302019	96
3	0.084	0.082	D10	07302019	96
3	0.084	0.083	D11	07302019	96
3	0.084	0.082	D12	07302019	96
3	0.772	0.603	E1	07302019	96
3	0.968	0.697	E2	07302019	96
3	0.64	0.529	E3	07302019	96
3	0.921	0.663	E4	07302019	96
3	1.302	0.841	E5	07302019	96
3	0.442	0.328	E6	07302019	96
3	0.613	0.453	E7	07302019	96
