

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.156	0.141
A2	0.255	0.212
A3	0.263	0.210
A4	0.200	0.182
A5	0.209	0.173
A6	0.117	0.113
A7	0.168	0.154
A8	0.167	0.148
A9	0.217	0.186
A10	0.174	0.165
A11	0.164	0.142
A12	0.216	0.176
B1	0.141	0.133
B2	0.120	0.115
B3	0.095	0.097
B4	0.190	0.169
B5	0.126	0.119
B6	0.217	0.189
B7	0.140	0.137
B8	0.118	0.112
B9	0.208	0.171
B10	0.079	0.084
B11	0.080	0.085
B12	0.080	0.084
C1	0.121	0.116
C2	0.138	0.124
C3	0.191	0.169
C4	0.163	0.142
C5	0.122	0.112
C6	0.178	0.153
C7	0.159	0.142
C8	0.171	0.157
C9	0.142	0.135
C10	0.212	0.187
C11	0.188	0.169
C12	0.202	0.159
D1	0.119	0.117
D2	0.156	0.144
D3	0.164	0.146
D4	0.109	0.103
D5	0.113	0.110
D6	0.152	0.148
D7	0.236	0.192
D8	0.186	0.160
D9	0.139	0.130
D10	0.078	0.083
D11	0.080	0.086
D12	0.083	0.087
E1	0.164	0.150
E2	0.209	0.181
E3	0.147	0.127
E4	0.198	0.162
E5	0.228	0.193
E6	0.135	0.121
E7	0.123	0.113
E8	0.210	0.182
E9	0.145	0.132
E10	0.217	0.179
E11	0.181	0.163
E12	0.106	0.103
F1	0.145	0.141
F2	0.146	0.133
F3	0.127	0.114
F4	0.137	0.125
F5	0.119	0.117
F6	0.150	0.136
F7	0.110	0.108
F8	0.118	0.115
F9	0.219	0.189
F10	0.080	0.084
F11	0.080	0.086
F12	0.082	0.086
G1	0.080	0.084
G2	0.078	0.084
G3	0.077	0.083
G4	0.083	0.081
G5	0.084	0.081
G6	0.084	0.082
G7	0.084	0.081
G8	0.083	0.080
G9	0.082	0.079
G10	0.082	0.079
G11	0.082	0.080
G12	0.083	0.081
H1	0.083	0.081
H2	0.084	0.082
H3	0.083	0.082
H4	0.084	0.081
H5	0.084	0.080
H6	0.083	0.079
H7	0.083	0.080
H8	0.082	0.080
H9	0.083	0.079
H10	0.083	0.079
H11	0.084	0.080
H12	0.086	0.083

