

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.079	0.080
A2	0.081	0.082
A3	0.080	0.082
A4	0.087	0.086
A5	0.081	0.083
A6	0.079	0.082
A7	0.080	0.082
A8	0.081	0.083
B1	0.080	0.082
B2	0.628	0.591
B3	1.060	0.822
B4	0.961	0.805
B5	0.854	0.655
B6	0.310	0.333
B7	0.667	0.508
B8	0.081	0.082
C1	0.080	0.081
C2	0.705	0.650
C3	0.606	0.496
C4	1.040	0.759
C5	0.086	0.092
C6	0.901	0.705
C7	0.947	0.757
C8	0.080	0.081
D1	0.078	0.081
D2	1.155	0.888
D3	0.960	0.727
D4	0.080	0.085
D5	1.345	0.976
D6	1.224	0.918
D7	0.607	0.455
D8	0.081	0.083
E1	0.079	0.082
E2	0.401	0.328
E3	0.900	0.701
E4	1.377	0.805
E5	0.896	0.833
E6	0.084	0.088
E7	0.339	0.263
E8	0.079	0.081
F1	0.080	0.082
F2	0.078	0.080
F3	0.082	0.085
F4	0.078	0.079
F5	0.081	0.083
F6	0.080	0.083
F7	0.081	0.082
F8	0.085	0.086

