

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.079	0.079
A2	0.081	0.081
A3	0.080	0.081
A4	0.087	0.087
A5	0.092	0.094
A6	0.079	0.081
A7	0.080	0.082
A8	0.081	0.083
B1	0.081	0.082
B2	1.204	1.048
B3	1.382	1.067
B4	1.544	1.084
B5	1.837	1.191
B6	0.366	0.493
B7	0.963	0.848
B8	0.080	0.082
C1	0.079	0.080
C2	1.293	0.919
C3	0.886	0.759
C4	0.588	0.892
C5	0.080	0.083
C6	0.848	0.772
C7	1.262	0.960
C8	0.080	0.081
D1	0.078	0.079
D2	1.990	1.356
D3	0.658	0.683
D4	0.075	0.078
D5	1.497	1.112
D6	1.099	0.959
D7	1.065	0.723
D8	0.081	0.083
E1	0.079	0.081
E2	0.816	0.781
E3	1.234	1.050
E4	1.969	1.273
E5	0.863	0.714
E6	0.083	0.082
E7	0.787	0.692
E8	0.079	0.081
F1	0.079	0.079
F2	0.078	0.079
F3	0.079	0.081
F4	0.077	0.077
F5	0.079	0.081
F6	0.080	0.081
F7	0.088	0.083
F8	0.085	0.086

