

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.079	0.079
A2	0.081	0.081
A3	0.081	0.083
A4	0.083	0.087
A5	0.088	0.091
A6	0.101	0.105
A7	0.096	0.100
A8	0.082	0.085
B1	0.080	0.080
B2	1.194	0.973
B3	1.019	0.891
B4	1.516	1.154
B5	0.107	0.112
B6	0.993	0.819
B7	1.244	0.926
B8	0.082	0.084
C1	0.083	0.082
C2	1.478	1.514
C3	1.302	0.789
C4	1.192	1.077
C5	1.546	1.071
C6	1.077	0.928
C7	1.611	1.118
C8	0.080	0.082
D1	0.076	0.077
D2	1.250	1.121
D3	1.194	0.840
D4	1.469	1.099
D5	0.101	0.105
D6	0.105	0.109
D7	0.348	0.294
D8	0.083	0.084
E1	0.078	0.079
E2	1.209	1.118
E3	0.624	0.969
E4	1.487	1.092
E5	0.960	0.920
E6	0.446	0.408
E7	1.222	1.018
E8	0.080	0.082
F1	0.076	0.079
F2	0.092	0.092
F3	0.101	0.101
F4	0.099	0.101
F5	0.105	0.107
F6	0.102	0.103
F7	0.104	0.104
F8	0.082	0.083

