

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.078	0.083
A2	0.079	0.085
A3	0.078	0.084
A4	0.079	0.084
A5	0.079	0.084
A6	0.079	0.083
A7	0.080	0.084
A8	0.079	0.084
A9	0.079	0.084
A10	0.079	0.083
A11	0.076	0.081
A12	0.078	0.084
B1	0.077	0.082
B2	0.078	0.081
B3	0.079	0.082
B4	0.079	0.084
B5	0.081	0.085
B6	0.080	0.084
B7	0.080	0.085
B8	0.079	0.083
B9	0.078	0.082
B10	0.077	0.082
B11	0.078	0.084
B12	0.079	0.084
C1	0.077	0.082
C2	0.079	0.082
C3	1.423	0.893
C4	0.262	0.208
C5	0.606	0.393
C6	0.570	0.455
C7	0.080	0.084
C8	0.189	0.166
C9	0.522	0.276
C10	0.850	0.722
C11	0.078	0.083
C12	0.080	0.085
D1	0.077	0.081
D2	0.079	0.083
D3	0.182	0.141
D4	0.327	0.222
D5	0.782	0.531
D6	0.170	0.147
D7	0.080	0.083
D8	0.260	0.177
D9	0.296	0.268
D10	0.512	0.316
D11	0.077	0.084
D12	0.079	0.084
E1	0.078	0.082
E2	0.078	0.081
E3	0.093	0.086
E4	0.399	0.264
E5	0.371	0.267
E6	0.515	0.400
E7	0.762	0.518
E8	0.175	0.131
E9	0.077	0.081
E10	0.155	0.122
E11	0.077	0.084
E12	0.078	0.084
F1	0.078	0.083
F2	0.077	0.081
F3	0.078	0.082
F4	0.078	0.081
F5	0.079	0.083
F6	0.080	0.084
F7	0.079	0.083
F8	0.078	0.082
F9	0.079	0.084
F10	0.076	0.081
F11	0.076	0.084
F12	0.078	0.082
G1	0.079	0.084
G2	0.077	0.082
G3	0.078	0.082
G4	0.078	0.083
G5	0.078	0.083
G6	0.079	0.084
G7	0.078	0.083
G8	0.078	0.083
G9	0.076	0.081
G10	0.076	0.080
G11	0.076	0.081
G12	0.079	0.084
H1	0.078	0.082
H2	0.079	0.082
H3	0.079	0.084
H4	0.079	0.082
H5	0.079	0.082
H6	0.077	0.081
H7	0.077	0.083
H8	0.077	0.081
H9	0.078	0.080
H10	0.079	0.082
H11	0.079	0.081
H12	0.080	0.083

