

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.079	0.076
A2	0.081	0.079
A3	0.080	0.080
A4	0.081	0.082
A5	0.081	0.084
A6	0.081	0.083
A7	0.125	0.126
A8	0.081	0.084
B1	0.075	0.073
B2	0.770	0.537
B3	1.581	1.467
B4	1.433	1.165
B5	0.080	0.081
B6	2.353	1.349
B7	1.201	0.838
B8	0.081	0.083
C1	0.076	0.073
C2	0.381	0.314
C3	1.321	0.923
C4	1.192	0.959
C5	0.931	0.800
C6	0.481	0.712
C7	1.315	0.802
C8	0.081	0.083
D1	0.084	0.080
D2	1.222	0.833
D3	1.608	1.248
D4	0.588	0.720
D5	0.080	0.081
D6	0.080	0.083
D7	0.421	0.326
D8	0.080	0.082
E1	0.077	0.075
E2	0.595	0.385
E3	0.655	0.509
E4	2.664	1.492
E5	0.860	0.804
E6	0.326	0.220
E7	1.153	0.929
E8	0.081	0.083
F1	0.076	0.075
F2	0.077	0.076
F3	0.079	0.079
F4	0.078	0.078
F5	0.079	0.079
F6	0.079	0.080
F7	0.080	0.082
F8	0.081	0.083

