

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.080	0.082
A2	0.080	0.081
A3	0.079	0.081
A4	0.080	0.082
A5	0.080	0.082
A6	0.081	0.083
A7	0.080	0.081
A8	0.080	0.082
B1	0.079	0.080
B2	0.094	0.091
B3	0.193	0.161
B4	0.136	0.123
B5	0.239	0.143
B6	0.099	0.099
B7	0.292	0.156
B8	0.080	0.083
C1	0.080	0.082
C2	0.145	0.125
C3	0.102	0.098
C4	0.124	0.141
C5	0.079	0.082
C6	0.255	0.175
C7	0.298	0.236
C8	0.080	0.081
D1	0.078	0.081
D2	0.271	0.219
D3	0.250	0.182
D4	0.077	0.078
D5	0.319	0.223
D6	0.260	0.200
D7	0.092	0.093
D8	0.081	0.083
E1	0.080	0.083
E2	0.210	0.160
E3	0.133	0.116
E4	0.167	0.131
E5	0.235	0.178
E6	0.080	0.081
E7	0.331	0.247
E8	0.082	0.082
F1	0.078	0.080
F2	0.078	0.079
F3	0.077	0.078
F4	0.077	0.080
F5	0.078	0.080
F6	0.079	0.082
F7	0.080	0.083
F8	0.085	0.087

