

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.079	0.080
A2	0.081	0.083
A3	0.080	0.082
A4	0.081	0.084
A5	0.080	0.084
A6	0.081	0.084
A7	0.080	0.083
A8	0.082	0.085
B1	0.079	0.081
B2	0.726	0.534
B3	0.509	0.404
B4	0.526	0.393
B5	0.081	0.083
B6	0.258	0.219
B7	0.259	0.214
B8	0.081	0.083
C1	0.078	0.080
C2	0.506	0.368
C3	0.228	0.185
C4	0.427	0.390
C5	0.321	0.260
C6	0.360	0.285
C7	0.370	0.298
C8	0.081	0.083
D1	0.078	0.081
D2	0.403	0.417
D3	0.650	0.380
D4	0.321	0.248
D5	0.078	0.081
D6	0.079	0.080
D7	0.114	0.107
D8	0.081	0.083
E1	0.078	0.081
E2	0.206	0.183
E3	0.160	0.134
E4	0.404	0.336
E5	0.447	0.335
E6	0.127	0.120
E7	0.380	0.316
E8	0.079	0.082
F1	0.079	0.081
F2	0.078	0.080
F3	0.078	0.080
F4	0.076	0.077
F5	0.079	0.081
F6	0.079	0.080
F7	0.081	0.082
F8	0.081	0.083

