

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.078	0.080
A2	0.080	0.082
A3	0.079	0.081
A4	0.086	0.086
A5	0.081	0.083
A6	0.079	0.081
A7	0.080	0.082
A8	0.081	0.083
B1	0.081	0.083
B2	0.326	0.262
B3	0.305	0.257
B4	0.579	0.443
B5	0.347	0.280
B6	0.249	0.168
B7	0.428	0.342
B8	0.080	0.082
C1	0.078	0.079
C2	0.313	0.224
C3	0.476	0.366
C4	0.639	0.445
C5	0.080	0.083
C6	0.569	0.405
C7	0.430	0.353
C8	0.082	0.083
D1	0.078	0.081
D2	0.528	0.390
D3	0.254	0.180
D4	0.076	0.079
D5	0.447	0.336
D6	0.354	0.301
D7	0.226	0.193
D8	0.080	0.083
E1	0.079	0.082
E2	0.410	0.305
E3	0.798	0.528
E4	0.451	0.380
E5	0.461	0.349
E6	0.081	0.082
E7	0.334	0.278
E8	0.079	0.081
F1	0.079	0.081
F2	0.078	0.079
F3	0.079	0.081
F4	0.077	0.077
F5	0.079	0.081
F6	0.080	0.081
F7	0.081	0.082
F8	0.085	0.087

