

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.077	0.082
A2	0.078	0.085
A3	0.077	0.083
A4	0.078	0.083
A5	0.079	0.084
A6	0.078	0.083
A7	0.079	0.084
A8	0.079	0.083
A9	0.078	0.083
A10	0.078	0.083
A11	0.076	0.081
A12	0.076	0.082
B1	0.076	0.082
B2	0.077	0.082
B3	0.076	0.082
B4	0.076	0.082
B5	0.078	0.083
B6	0.077	0.082
B7	0.077	0.083
B8	0.077	0.083
B9	0.076	0.082
B10	0.076	0.081
B11	0.077	0.083
B12	0.078	0.083
C1	0.077	0.082
C2	0.076	0.081
C3	0.094	0.094
C4	0.106	0.107
C5	0.078	0.082
C6	0.505	0.423
C7	0.077	0.082
C8	0.083	0.085
C9	0.090	0.092
C10	0.091	0.093
C11	0.077	0.084
C12	0.079	0.085
D1	0.077	0.082
D2	0.076	0.082
D3	0.082	0.084
D4	0.077	0.084
D5	0.124	0.122
D6	0.100	0.097
D7	0.076	0.082
D8	0.083	0.084
D9	0.129	0.124
D10	0.081	0.085
D11	0.076	0.084
D12	0.078	0.084
E1	0.078	0.083
E2	0.076	0.081
E3	0.079	0.082
E4	0.083	0.086
E5	0.873	0.765
E6	0.079	0.083
E7	0.140	0.138
E8	0.083	0.086
E9	0.076	0.080
E10	0.078	0.083
E11	0.076	0.083
E12	0.078	0.084
F1	0.077	0.083
F2	0.077	0.082
F3	0.077	0.082
F4	0.093	0.095
F5	0.076	0.082
F6	0.077	0.083
F7	0.077	0.083
F8	0.077	0.082
F9	0.078	0.084
F10	0.075	0.082
F11	0.076	0.083
F12	0.077	0.082
G1	0.080	0.085
G2	0.077	0.082
G3	0.077	0.083
G4	0.077	0.083
G5	0.076	0.083
G6	0.077	0.083
G7	0.077	0.082
G8	0.077	0.083
G9	0.076	0.081
G10	0.076	0.080
G11	0.076	0.081
G12	0.079	0.084
H1	0.076	0.082
H2	0.077	0.083
H3	0.076	0.083
H4	0.077	0.083
H5	0.077	0.082
H6	0.076	0.081
H7	0.076	0.082
H8	0.076	0.081
H9	0.076	0.080
H10	0.080	0.084
H11	0.077	0.081
H12	0.077	0.082

