

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.080	0.081
A2	0.080	0.081
A3	0.079	0.081
A4	0.080	0.082
A5	0.080	0.082
A6	0.081	0.083
A7	0.080	0.080
A8	0.081	0.082
B1	0.078	0.079
B2	0.756	0.636
B3	1.665	1.257
B4	1.707	1.202
B5	1.397	0.869
B6	0.352	0.350
B7	1.161	0.974
B8	0.081	0.085
C1	0.079	0.080
C2	0.991	0.840
C3	1.972	1.209
C4	1.431	0.932
C5	0.078	0.080
C6	1.777	1.182
C7	1.907	1.217
C8	0.080	0.081
D1	0.077	0.079
D2	1.145	0.939
D3	0.873	0.606
D4	0.080	0.080
D5	0.623	0.933
D6	0.840	0.651
D7	0.468	0.371
D8	0.082	0.082
E1	0.080	0.081
E2	0.792	0.644
E3	0.640	0.477
E4	1.372	0.905
E5	0.542	0.450
E6	0.079	0.079
E7	1.153	0.794
E8	0.085	0.084
F1	0.077	0.076
F2	0.077	0.074
F3	0.077	0.075
F4	0.078	0.077
F5	0.080	0.077
F6	0.080	0.079
F7	0.081	0.080
F8	0.083	0.082

