

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.078	0.080
A2	0.082	0.083
A3	0.080	0.090
A4	0.081	0.081
A5	0.080	0.082
A6	0.079	0.082
A7	0.080	0.082
A8	0.081	0.083
B1	0.079	0.081
B2	0.078	0.081
B3	0.295	0.299
B4	0.468	0.358
B5	0.613	0.476
B6	0.555	0.428
B7	0.393	0.327
B8	0.080	0.082
C1	0.078	0.080
C2	0.208	0.232
C3	0.282	0.235
C4	0.785	0.697
C5	0.339	0.261
C6	0.498	0.356
C7	0.330	0.237
C8	0.079	0.081
D1	0.078	0.081
D2	0.199	0.317
D3	0.740	0.600
D4	0.619	0.527
D5	0.446	0.284
D6	0.078	0.080
D7	0.251	0.195
D8	0.081	0.083
E1	0.087	0.089
E2	0.414	0.295
E3	0.955	0.830
E4	0.761	0.551
E5	0.471	0.319
E6	0.490	0.341
E7	0.080	0.081
E8	0.079	0.081
F1	0.081	0.083
F2	0.078	0.079
F3	0.078	0.081
F4	0.076	0.078
F5	0.079	0.081
F6	0.079	0.080
F7	0.081	0.082
F8	0.083	0.085

