

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.078	0.080
A2	0.080	0.082
A3	0.079	0.081
A4	0.081	0.081
A5	0.080	0.083
A6	0.079	0.081
A7	0.080	0.082
A8	0.081	0.084
B1	0.090	0.091
B2	0.078	0.080
B3	0.091	0.096
B4	0.137	0.149
B5	0.247	0.155
B6	0.225	0.163
B7	0.172	0.141
B8	0.080	0.082
C1	0.078	0.079
C2	0.127	0.140
C3	0.410	0.356
C4	0.225	0.223
C5	0.098	0.096
C6	0.149	0.157
C7	0.231	0.187
C8	0.080	0.082
D1	0.078	0.081
D2	0.147	0.164
D3	0.323	0.246
D4	0.209	0.173
D5	0.180	0.134
D6	0.078	0.079
D7	0.114	0.109
D8	0.082	0.084
E1	0.080	0.082
E2	0.128	0.124
E3	0.235	0.254
E4	0.206	0.166
E5	0.099	0.093
E6	0.129	0.109
E7	0.080	0.081
E8	0.080	0.082
F1	0.079	0.081
F2	0.077	0.079
F3	0.078	0.080
F4	0.076	0.077
F5	0.079	0.081
F6	0.079	0.081
F7	0.081	0.082
F8	0.081	0.083

