

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.082	0.083
A2	0.082	0.082
A3	0.078	0.080
A4	0.081	0.082
A5	0.080	0.082
A6	0.083	0.084
A7	0.081	0.081
A8	0.081	0.081
B1	0.089	0.089
B2	0.078	0.079
B3	0.576	0.526
B4	1.364	0.842
B5	1.169	0.859
B6	1.297	0.853
B7	1.896	1.134
B8	0.081	0.083
C1	0.078	0.080
C2	0.194	0.152
C3	0.929	0.671
C4	1.617	1.039
C5	0.733	0.501
C6	1.635	1.095
C7	0.769	0.549
C8	0.080	0.081
D1	0.078	0.081
D2	1.839	1.054
D3	1.331	1.025
D4	1.810	1.110
D5	1.361	0.908
D6	0.088	0.091
D7	0.974	0.798
D8	0.080	0.082
E1	0.079	0.080
E2	0.851	0.769
E3	1.450	1.012
E4	1.143	0.837
E5	1.171	0.905
E6	1.303	0.948
E7	0.086	0.090
E8	0.080	0.081
F1	0.077	0.077
F2	0.077	0.077
F3	0.086	0.084
F4	0.078	0.080
F5	0.079	0.079
F6	0.079	0.081
F7	0.082	0.084
F8	0.082	0.084

