

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.079	0.079
A2	0.081	0.081
A3	0.080	0.082
A4	0.080	0.083
A5	0.082	0.086
A6	0.082	0.085
A7	0.081	0.083
A8	0.082	0.084
B1	0.078	0.079
B2	0.930	0.831
B3	0.823	0.764
B4	1.176	0.915
B5	0.095	0.100
B6	0.659	0.575
B7	0.572	0.454
B8	0.081	0.083
C1	0.082	0.082
C2	0.510	0.448
C3	0.983	0.558
C4	1.662	1.119
C5	0.859	0.626
C6	0.703	0.502
C7	0.993	0.750
C8	0.079	0.081
D1	0.076	0.077
D2	0.984	0.765
D3	1.131	0.981
D4	0.652	0.575
D5	0.086	0.089
D6	0.090	0.093
D7	0.217	0.192
D8	0.082	0.084
E1	0.078	0.079
E2	0.932	0.670
E3	0.309	0.321
E4	1.675	1.132
E5	0.884	0.731
E6	0.356	0.336
E7	1.025	0.667
E8	0.080	0.082
F1	0.077	0.077
F2	0.078	0.079
F3	0.079	0.080
F4	0.077	0.080
F5	0.091	0.083
F6	0.090	0.083
F7	0.090	0.085
F8	0.081	0.083

