

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.080	0.084
A2	0.080	0.085
A3	0.079	0.084
A4	0.080	0.084
A5	0.080	0.085
A6	0.081	0.085
A7	0.080	0.084
A8	0.081	0.085
A9	0.080	0.084
A10	0.080	0.083
A11	0.077	0.082
A12	0.079	0.084
B1	0.078	0.083
B2	0.079	0.082
B3	0.079	0.083
B4	0.080	0.085
B5	0.083	0.086
B6	0.081	0.085
B7	0.080	0.085
B8	0.080	0.084
B9	0.079	0.083
B10	0.079	0.083
B11	0.080	0.086
B12	0.080	0.084
C1	0.078	0.083
C2	0.082	0.086
C3	1.890	1.085
C4	0.875	0.640
C5	1.325	0.947
C6	0.802	0.721
C7	0.082	0.086
C8	0.892	0.655
C9	1.634	1.041
C10	1.156	1.034
C11	0.080	0.086
C12	0.081	0.085
D1	0.079	0.082
D2	0.089	0.095
D3	1.258	0.785
D4	0.726	0.470
D5	0.954	0.791
D6	0.494	0.390
D7	0.082	0.086
D8	0.404	0.285
D9	1.167	0.951
D10	1.548	1.016
D11	0.079	0.086
D12	0.080	0.086
E1	0.080	0.083
E2	0.086	0.090
E3	0.150	0.139
E4	0.659	0.457
E5	0.609	0.447
E6	1.500	0.869
E7	1.529	0.922
E8	0.300	0.243
E9	0.080	0.084
E10	0.198	0.170
E11	0.080	0.087
E12	0.079	0.084
F1	0.081	0.084
F2	0.085	0.089
F3	0.086	0.090
F4	0.102	0.106
F5	0.084	0.089
F6	0.088	0.093
F7	0.082	0.088
F8	0.081	0.085
F9	0.081	0.086
F10	0.079	0.083
F11	0.078	0.085
F12	0.085	0.083
G1	0.082	0.085
G2	0.082	0.086
G3	0.084	0.088
G4	0.082	0.086
G5	0.082	0.086
G6	0.081	0.086
G7	0.081	0.086
G8	0.082	0.086
G9	0.079	0.083
G10	0.079	0.082
G11	0.079	0.082
G12	0.080	0.084
H1	0.079	0.083
H2	0.080	0.083
H3	0.079	0.084
H4	0.079	0.083
H5	0.080	0.082
H6	0.078	0.081
H7	0.079	0.083
H8	0.077	0.081
H9	0.078	0.081
H10	0.079	0.082
H11	0.079	0.081
H12	0.081	0.083

