

Actual Temperature:	0.0



Actual Temperature:	0.0

Results

Well	Read 1:650	Read 2:750
A1	0.079	0.080
A2	0.082	0.083
A3	0.080	0.082
A4	0.082	0.082
A5	0.081	0.083
A6	0.079	0.082
A7	0.081	0.083
A8	0.085	0.087
B1	0.080	0.081
B2	0.080	0.082
B3	0.607	0.525
B4	0.973	0.639
B5	0.623	0.526
B6	0.699	0.575
B7	1.029	0.796
B8	0.081	0.083
C1	0.081	0.082
C2	0.245	0.210
C3	0.400	0.308
C4	0.541	0.653
C5	0.895	0.679
C6	0.996	0.700
C7	1.343	1.027
C8	0.080	0.081
D1	0.083	0.081
D2	0.879	0.615
D3	1.107	0.876
D4	1.057	0.825
D5	1.011	0.770
D6	0.079	0.080
D7	0.637	0.507
D8	0.082	0.084
E1	0.087	0.088
E2	0.999	0.803
E3	1.843	1.255
E4	0.882	0.677
E5	0.843	0.625
E6	0.856	0.680
E7	0.083	0.081
E8	0.079	0.081
F1	0.078	0.078
F2	0.079	0.079
F3	0.080	0.081
F4	0.082	0.084
F5	0.081	0.081
F6	0.081	0.081
F7	0.082	0.082
F8	0.082	0.082

